Model,MAE,RMSE,R2,CV_R2
Random Forest,31.451339999999995,75.04248951395466,0.9376630004402748,0.4580389168808231
Gradient Boosting,45.78436291197931,135.6812810478217,0.7962154292044256,0.9152810131515675
Ridge Regression,116.38092244773159,139.20342176224236,0.7854980473857309,-20.793395904778073
Lasso Regression,117.19495557522825,141.14927748452092,0.7794593007849306,-23.254866677319786
Linear Regression,118.39563224790686,141.33343641424062,0.7788834418792803,-23.308801183429853
Decision Tree,60.15526666666667,179.2315742197476,0.644401052495289,0.5611134843637179
